navigation_status,rate_of_turn,speed_over_ground,latitude,longitude,course_over_ground,true_heading,cluster_size
0.64285714285714279,0.0,0.10767857142857144,1.1895101851851853,103.6913435970478,2610.9732142857142,245.9580357142857,2
0.5,0.0,1.28,1.1900984006734008,103.68959538366005,2547.0,252.65000000000001,2
0.5,0.0,2.6000000000000001,1.190050841750842,103.6895953823048,1420.0,232.5,2
0.5,0.0,3.1499999999999999,1.1906390572390573,103.68784716856372,1560.0,245.0,2
0.0,0.0,5.0,1.1906390572390573,103.68432921159415,2785.0,273.5,2
0.0,0.0,5.5499999999999998,1.1912748316498318,103.6825594672775,2730.0,267.5,2
0.0,0.0,6.3499999999999996,1.1912748316498318,103.67904150990285,2675.0,262.5,2
0.0,0.0,6.4000000000000004,1.1913223905723906,103.67904151117136,2675.0,261.5,2
0.0,0.0,6.9500000000000002,1.1913223905723906,103.67552355376739,2620.0,260.0,2
0.0,0.0,7.0,1.1913699494949495,103.67552355501908,2625.0,260.0,2
0.0,0.0,7.2000000000000002,1.1907817340067341,103.67377534438131,2600.0,257.5,2
0.0,0.0,7.5,1.1907817340067341,103.67025738732382,2575.0,257.5,2
0.0,0.0,7.5500000000000007,1.1908292929292932,103.67025738855143,2575.0,257.5,2
0.0,0.0,7.8000000000000007,1.1902410774410777,103.66850917865872,2570.0,257.5,2
0.0,0.0,8.0,1.1902410774410777,103.66499122194764,2560.0,257.0,2
0.0,0.0,8.1999999999999993,1.1896528619528619,103.66324301280693,2560.0,257.5,2
0.0,0.0,8.1999999999999993,1.1897004208754209,103.66324301400326,2545.0,258.5,2
0.0,63.5,8.0999999999999996,1.1897004208754209,103.65972505763851,2625.0,272.0,2
0.0,0.0,8.1500000000000004,1.1891122053872054,103.65797684924223,2645.0,273.5,2
0.0,0.0,8.1999999999999993,1.1891122053872054,103.65445889325304,2745.0,276.5,2
0.0,0.0,8.4000000000000004,1.1891122053872054,103.65094093726381,2785.0,280.0,2
0.0,0.0,8.4000000000000004,1.1903361952861953,103.65094092841997,2785.0,280.0,2
0.0,0.0,8.5500000000000007,1.1903361952861953,103.6474229716503,2795.0,280.0,2
0.0,0.0,8.6499999999999986,1.1909244107744108,103.6456747532916,2790.0,280.0,2
0.0,0.0,8.8499999999999996,1.1909244107744108,103.64215679614621,2790.0,280.0,2
0.0,0.0,8.9499999999999993,1.1909244107744108,103.63863883900079,2780.0,280.5,2
0.0,0.0,8.9499999999999993,1.1921484006734009,103.63863882741896,2780.0,280.5,2
0.0,0.0,9.0,1.1921484006734009,103.6351208694925,2800.0,282.5,2
0.0,0.0,9.1000000000000014,1.1927366161616162,103.63337264924188,2805.0,282.5,2
0.0,0.0,9.25,1.1927366161616162,103.62985469093941,2810.0,282.5,2
0.0,0.0,9.25,1.1939606060606061,103.62985467739706,2810.0,282.5,2
0.0,0.0,9.3000000000000007,1.1939606060606061,103.62633671831294,2800.0,280.5,2
0.0,0.0,9.4000000000000004,1.1939606060606061,103.62281875922881,2790.0,279.5,2
0.0,0.0,9.4000000000000004,1.1951845959595961,103.62281874411545,2785.0,279.5,2
0.0,0.0,9.4499999999999993,1.1951845959595961,103.61930078424928,2780.0,281.0,2
0.0,0.0,9.5,1.1951845959595961,103.61578282438309,2795.0,281.5,2
0.0,0.0,9.5,1.1958203703703705,103.61401307073369,2795.0,281.5,2
0.0,0.0,9.5999999999999996,1.196408585858586,103.61226484704846,2800.0,281.5,2
0.0,0.0,9.6499999999999986,1.1970443602693603,103.61049509259486,2800.0,281.5,2
0.0,0.0,9.75,1.1970443602693603,103.60697713154015,2810.0,282.5,2
0.0,0.0,9.8000000000000007,1.1970443602693603,103.60345917048545,2805.0,282.5,2
0.0,0.0,9.8000000000000007,1.1982683501683502,103.60345915104338,2805.0,282.5,2
0.0,0.0,9.8000000000000007,1.1982683501683502,103.59994118920562,2810.0,282.5,2
0.0,0.0,9.8000000000000007,1.1989041245791245,103.5981714327245,2815.0,282.5,2
0.0,0.0,9.8499999999999996,1.1994923400673401,103.59642320634894,2815.0,282.5,2
0.0,0.0,9.9000000000000004,1.2001281144781144,103.59465344906162,2810.0,282.5,2
0.0,0.0,9.9000000000000004,1.2001281144781144,103.59113548603379,2805.0,283.5,2
0.0,0.0,9.9000000000000004,1.2007163299663302,103.58938725850909,2805.0,284.0,2
0.0,0.0,9.9000000000000004,1.2013521043771045,103.58761750000816,2825.0,284.0,2
0.0,0.0,9.9000000000000004,1.2019403198653198,103.58586927171079,2825.0,284.0,2
0.0,0.0,9.9499999999999993,1.2025760942760944,103.58409951240222,2830.0,284.0,2
0.0,0.0,9.9499999999999993,1.2025760942760944,103.58058154780585,2825.0,284.0,2
0.0,0.0,9.9499999999999993,1.2038000841750842,103.58058152321479,2825.0,284.0,2
0.0,0.0,10.0,1.2038000841750842,103.57706355783353,2830.0,284.0,2
0.0,0.0,10.0,1.2038000841750842,103.57354559245226,2830.0,284.0,2
0.0,0.0,10.0,1.2050240740740741,103.57354556627811,2830.0,284.0,2
0.0,-63.5,10.0,1.2050240740740741,103.57002760011156,2840.0,282.5,2
0.0,-63.5,10.0,1.2062480639730642,103.57002757313838,2835.0,282.0,2
0.0,0.0,9.8500000000000014,1.2062480639730642,103.56650960618614,2805.0,281.0,2
0.0,0.0,10.050000000000001,1.2062480639730642,103.56299163923391,2805.0,281.0,2
0.0,0.0,10.050000000000001,1.207472053872054,103.56299161067481,2805.0,281.0,2
0.0,0.0,10.300000000000001,1.207472053872054,103.5594736429365,2810.0,281.5,2
