id1,id2,relative_speed,distance
353057000,372343000,5.193208789,0.827403969
353057000,372343000,5.193208789,0.825572907
353057000,372343000,5.193208789,0.819009036
353057000,372343000,5.193208789,0.816663791
353057000,372343000,5.193208789,0.820842212
353057000,372343000,5.120485934,0.820904489
353057000,372343000,5.120485934,0.819079821
353057000,372343000,5.120485934,0.81237482
353057000,372343000,5.120485934,0.809955318
353057000,372343000,5.120485934,0.814201884
353057000,372343000,5.120485934,0.791281932
353057000,372343000,5.120485934,0.78951037
353057000,372343000,5.120485934,0.782060918
353057000,372343000,5.120485934,0.779239277
353057000,372343000,5.120485934,0.783836197
353057000,372343000,5.224985647,0.780980858
353057000,372343000,5.224985647,0.779247462
353057000,372343000,5.224985647,0.771458851
353057000,372343000,5.224985647,0.768446542
353057000,372343000,5.224985647,0.773196408
353057000,372343000,5.224985647,0.777486333
353057000,372343000,5.224985647,0.775780477
353057000,372343000,5.224985647,0.767795878
353057000,372343000,5.224985647,0.764670468
353057000,372343000,5.224985647,0.769506071
353057000,372343000,5.224985647,0.773687847
353057000,372343000,5.224985647,0.772009118
353057000,372343000,5.224985647,0.763859359
353057000,372343000,5.224985647,0.76063661
353057000,372343000,5.224985647,0.765542526
353057000,372343000,5.224985647,0.772231556
353057000,372343000,5.224985647,0.770607482
353057000,372343000,5.224985647,0.76218624
353057000,372343000,5.224985647,0.758798195
353057000,372343000,5.224985647,0.763814756
353057000,372343000,5.224985647,0.771667438
353057000,372343000,5.224985647,0.770068883
353057000,372343000,5.224985647,0.761542585
353057000,372343000,5.224985647,0.758088322
353057000,372343000,5.224985647,0.763145525
353057000,372343000,5.224985647,0.77328044
353057000,372343000,5.224985647,0.771707436
353057000,372343000,5.224985647,0.763087069
353057000,372343000,5.224985647,0.759572099
353057000,372343000,5.224985647,0.764664358
353057000,372343000,5.224985647,0.774430302
353057000,372343000,5.224985647,0.772899553
353057000,372343000,5.224985647,0.764144492
353057000,372343000,5.224985647,0.760539704
353057000,372343000,5.224985647,0.765679314
353057000,372343000,5.224985647,0.798693419
353057000,372343000,5.224985647,0.797394126
353057000,372343000,5.224985647,0.788219216
353057000,372343000,5.224985647,0.784283433
353057000,372343000,5.224985647,0.789520584
